"plot","ratio","type","file","fileID","set85id","graphtype","kit","nickname","participantUnique","appStartTime","plotStartTime","plotEndTime","plot3dClicks","whichIsSmaller","byHowMuch","graphCorrecter","Height","response","subject","ratioLabel"
"2dDigital",5,2,"data/pilot/Set85/id-03/Type1-Rep01",5,3,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681323906.2584,1681323959.19654,0,"Triangle (▲)",61.9,NA,0.681292069057963,2.66771206787739,"19d0844c0631bfd8c45445b380168f025411441",68.1
"3dPrint",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324018.19183,1681324050.6726,0,"Triangle (▲)",77.5,"",0.825404185268019,2.36888524784722,"19d0844c0631bfd8c45445b380168f025411441",82.5
"2dDigital",1,1,"data/pilot/Set85/id-04/Type3-Rep01",8,4,"Type3",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324050.74657,1681324075.72107,0,"Triangle (▲)",41.8,NA,0.464158883361278,2.24515741314196,"19d0844c0631bfd8c45445b380168f025411441",46.4
"3dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324075.81842,1681324097.14676,0,"Triangle (▲)",12.7,NA,0.261015721568254,3.7577243792197,"19d0844c0631bfd8c45445b380168f025411441",26.1
"3dPrint",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324140.44229,1681324156.67715,0,"Triangle (▲)",29.6,"",0.464158883361278,4.08243762271708,"19d0844c0631bfd8c45445b380168f025411441",46.4
"3dPrint",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324191.63546,1681324215.29365,0,"Triangle (▲)",12.7,"",0.177827941003892,2.38067241005894,"19d0844c0631bfd8c45445b380168f025411441",17.8
"3dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324215.35869,1681324236.14468,3,"Triangle (▲)",87.3,NA,0.825404185268019,2.28823495269337,"19d0844c0631bfd8c45445b380168f025411441",82.5
"3dDigital",5,2,"data/pilot/Set85/id-03/Type1-Rep01",5,3,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324236.21583,1681324255.17022,1,"Triangle (▲)",54.2,NA,0.681292069057963,3.81293013805008,"19d0844c0631bfd8c45445b380168f025411441",68.1
"2dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324255.22821,1681324268.92276,0,"Triangle (▲)",14.3,NA,0.177827941003892,1.85111700521645,"19d0844c0631bfd8c45445b380168f025411441",17.8
"3dPrint",5,2,"data/pilot/Set85/id-03/Type1-Rep01",5,3,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324282.04822,1681324313.60923,0,"Triangle (▲)",56.6,"",0.681292069057963,3.54277892414984,"19d0844c0631bfd8c45445b380168f025411441",68.1
"2dDigital",3,1,"data/pilot/Set85/id-09/Type3-Rep01",14,9,"Type3",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324313.70395,1681324331.24936,0,"Triangle (▲)",95.8,NA,0.825404185268019,3.74250012247406,"19d0844c0631bfd8c45445b380168f025411441",82.5
"2dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324331.33986,1681324340.64091,0,"Triangle (▲)",19,NA,0.261015721568254,2.85331148326976,"19d0844c0631bfd8c45445b380168f025411441",26.1
"3dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324340.73424,1681324366.274,3,"Triangle (▲)",12.9,NA,0.177827941003892,2.32417524588594,"19d0844c0631bfd8c45445b380168f025411441",17.8
"3dDigital",1,1,"data/pilot/Set85/id-04/Type3-Rep01",8,4,"Type3",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324366.35339,1681324389.0056,1,"Triangle (▲)",32,NA,0.464158883361278,3.86204350437716,"19d0844c0631bfd8c45445b380168f025411441",46.4
"3dPrint",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",8,"19d0844c0631bfd8c45445b380168f02","5411441",1681323906.18234,1681324392.13319,1681324417.90576,0,"Triangle (▲)",14,"",0.261015721568254,3.61194808129386,"19d0844c0631bfd8c45445b380168f025411441",26.1
"3dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","9751819",1681324044.36066,1681324044.42569,1681324081.81555,7,"Triangle (▲)",10.6,NA,0.261015721568254,3.96592943850241,"bf41afaa31fb2787c7b74f1fbb97b1439751819",26.1
"3dDigital",2,2,"data/pilot/Set85/id-05/Type1-Rep01",9,5,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324106.8914,1681324122.59246,4,"Triangle (▲)",22.1,NA,0.383118684955729,4.03005956436399,"bf41afaa31fb2787c7b74f1fbb97b1432097518",38.3
"3dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324122.65395,1681324133.67074,1,"Triangle (▲)",7.2,NA,0.261015721568254,4.2499437627631,"bf41afaa31fb2787c7b74f1fbb97b1432097518",26.1
"3dPrint",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324157.59387,1681324168.31474,0,"Triangle (▲)",89.2,"",0.825404185268019,2.76225982151517,"bf41afaa31fb2787c7b74f1fbb97b1432097518",82.5
"2dDigital",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324168.40283,1681324181.40127,0,"Triangle (▲)",27.3,NA,0.383118684955729,3.47727172244732,"bf41afaa31fb2787c7b74f1fbb97b1432097518",38.3
"3dPrint",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324193.2032,1681324202.46455,0,"Triangle (▲)",9.1,"",0.261015721568254,4.09816452317943,"bf41afaa31fb2787c7b74f1fbb97b1432097518",26.1
"2dDigital",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324202.55617,1681324214.34942,0,"Triangle (▲)",34.4,NA,0.464158883361278,3.60180208083338,"bf41afaa31fb2787c7b74f1fbb97b1432097518",46.4
"2dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324214.42876,1681324221.09861,0,"Triangle (▲)",11.7,NA,0.261015721568254,3.86062240448031,"bf41afaa31fb2787c7b74f1fbb97b1432097518",26.1
"2dDigital",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324221.1751,1681324230.64635,0,"Triangle (▲)",9.7,NA,0.177827941003892,3.03699454014657,"bf41afaa31fb2787c7b74f1fbb97b1432097518",17.8
"3dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324230.72405,1681324240.12587,2,"Triangle (▲)",91.6,NA,0.825404185268019,3.19921398151097,"bf41afaa31fb2787c7b74f1fbb97b1432097518",82.5
"3dDigital",1,1,"data/pilot/Set85/id-04/Type3-Rep01",8,4,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324240.1747,1681324250.5658,2,"Triangle (▲)",43.7,NA,0.464158883361278,1.50634212611363,"bf41afaa31fb2787c7b74f1fbb97b1432097518",46.4
"2dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324250.61157,1681324258.20859,0,"Triangle (▲)",91.8,NA,0.825404185268019,3.23029240621699,"bf41afaa31fb2787c7b74f1fbb97b1432097518",82.5
"3dPrint",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324278.83596,1681324288.45406,0,"Triangle (▲)",29.9,"",0.383118684955729,3.09370695574509,"bf41afaa31fb2787c7b74f1fbb97b1432097518",38.3
"3dPrint",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","2097518",1681324106.82785,1681324304.10989,1681324314.57993,0,"Triangle (▲)",34.9,"",0.464158883361278,3.54112925186418,"bf41afaa31fb2787c7b74f1fbb97b1432097518",46.4
"3dPrint",1,1,"data/pilot/Set85/id-04/Type3-Rep01",8,4,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324325.42564,1681324355.99923,0,"Triangle (▲)",45.2,"",0.464158883361278,0.423189100313032,"1ebba1f28c2be8b4dd23411129ebba5e97518",46.4
"2dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324356.07923,1681324376.69922,0,"Triangle (▲)",17.9,NA,0.261015721568254,3.05772269605365,"1ebba1f28c2be8b4dd23411129ebba5e97518",26.1
"2dDigital",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324376.77754,1681324389.95941,0,"Triangle (▲)",46.5,NA,0.464158883361278,-2.25765455978296,"1ebba1f28c2be8b4dd23411129ebba5e97518",46.4
"3dDigital",4,2,"data/pilot/Set85/id-02/Type1-Rep01",3,2,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324390.02059,1681324418.00552,0,"Triangle (▲)",46.5,NA,0.56234132519035,3.3014607129781,"1ebba1f28c2be8b4dd23411129ebba5e97518",56.2
"3dDigital",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324418.06053,1681324451.96487,0,"Triangle (▲)",47.4,NA,0.464158883361278,0.149404621410268,"1ebba1f28c2be8b4dd23411129ebba5e97518",46.4
"3dPrint",4,2,"data/pilot/Set85/id-02/Type1-Rep01",3,2,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324468.7266,1681324475.12158,0,"Triangle (▲)",50,"",0.56234132519035,2.66882997371014,"1ebba1f28c2be8b4dd23411129ebba5e97518",56.2
"3dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324475.19245,1681324483.23527,0,"Triangle (▲)",13.3,NA,0.261015721568254,3.69226784969618,"1ebba1f28c2be8b4dd23411129ebba5e97518",26.1
"3dDigital",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324483.30859,1681324490.36374,0,"Triangle (▲)",14.8,NA,0.177827941003892,1.63589092453476,"1ebba1f28c2be8b4dd23411129ebba5e97518",17.8
"3dPrint",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324508.89242,1681324515.71607,0,"Triangle (▲)",14.6,"",0.177827941003892,1.72586943414873,"1ebba1f28c2be8b4dd23411129ebba5e97518",17.8
"2dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324515.76908,1681324522.43545,0,"Triangle (▲)",19,NA,0.177827941003892,0.424606003551417,"1ebba1f28c2be8b4dd23411129ebba5e97518",17.8
"3dDigital",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324522.48658,1681324530.83247,0,"Triangle (▲)",24.7,NA,0.383118684955729,3.77998125473364,"1ebba1f28c2be8b4dd23411129ebba5e97518",38.3
"3dPrint",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324533.17718,1681324546.3856,0,"Triangle (▲)",19.2,"",0.261015721568254,2.81282105652137,"1ebba1f28c2be8b4dd23411129ebba5e97518",26.1
"2dDigital",2,2,"data/pilot/Set85/id-05/Type1-Rep01",9,5,"Type1",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324546.438,1681324550.7432,0,"Triangle (▲)",43.9,NA,0.383118684955729,2.51428173814895,"1ebba1f28c2be8b4dd23411129ebba5e97518",38.3
"3dPrint",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324565.32334,1681324572.44757,0,"Triangle (▲)",19.2,"",0.383118684955729,4.26580206168728,"1ebba1f28c2be8b4dd23411129ebba5e97518",38.3
"2dDigital",4,1,"data/pilot/Set85/id-02/Type3-Rep01",4,2,"Type3",11,"1ebba1f28c2be8b4dd23411129ebba5e","97518",1681324285.99089,1681324572.5086,1681324577.26995,0,"Triangle (▲)",41.9,NA,0.56234132519035,3.85390909475399,"1ebba1f28c2be8b4dd23411129ebba5e97518",56.2
"3dDigital",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324428.99177,1681324443.31357,2,"Triangle (▲)",16.4,NA,0.177827941003892,0.592439432168523,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",17.8
